v2ProductName,sessions,viewers,product_view_rate,product_desirability
Google Engraved Ceramic Mug,251,32,12.75,mid desirability
Google Men's Bike Short Sleeve Tee Charcoal,1011,98,9.69,low desirability
Gift Card - $25.00,3577,342,9.56,low desirability
Google Laptop Tech Backpack,15602,1409,9.03,low desirability
Google Baby Essentials Set,6718,605,9.01,low desirability
Google Badge Pull,125,11,8.8,low desirability
Mistral Rucksack,4961,401,8.08,low desirability
Google Sunglasses,41167,3308,8.04,low desirability
Google Alpine Style Backpack,77709,5831,7.5,low desirability
Waterproof Backpack,76221,5572,7.31,low desirability
Google Rucksack,63278,4472,7.07,low desirability
15 oz Ceramic Mug,246,17,6.91,low desirability
Google Phone Sanitizer,18292,1250,6.83,low desirability
Oasis Backpack,4969,333,6.7,low desirability
Keyboard DOT Sticker,65867,4412,6.7,low desirability
Google Youth Girl Hoodie,7478,501,6.7,low desirability
Deluge Waterproof Backpack,5009,333,6.65,low desirability
Gift Card- $100.00,3653,239,6.54,low desirability
Google Laptop and Cell Phone Stickers,77150,5008,6.49,low desirability
Micro Wireless Earbud,34380,2212,6.43,low desirability
Engraved Ceramic Google Mug,35009,2223,6.35,low desirability
25L Classic Rucksack,27912,1753,6.28,low desirability
BLM Sweatshirt,2560,154,6.02,low desirability
Micro Wireless Earbuds,8940,529,5.92,low desirability
Google Laptop Backpack,58696,3429,5.84,low desirability
Google Men's  Zip Hoodie,87949,5089,5.79,low desirability
Gift Card - $50.00,3592,205,5.71,low desirability
26 oz Double Wall Insulated Bottle,60915,3438,5.64,low desirability
Google Collapsible Duffel,10253,571,5.57,low desirability
Recycled Paper Journal Set,10184,564,5.54,low desirability
Google Doodle Decal,29712,1610,5.42,low desirability
ATOM Wireless Earbud Headset,3803,204,5.36,low desirability
Leatherette Journal,33149,1720,5.19,low desirability
Solo Pro Backpack,3901,201,5.15,low desirability
Google Youth Short Sleeve Tee White,6099,311,5.1,low desirability
Google Metallic Notebook Set,28367,1446,5.1,low desirability
Google Youth Baseball Raglan Heather/Black,7585,380,5.01,low desirability
Red Shine 15 oz Mug,46036,2218,4.82,low desirability
YouTube Sticker Sheet,1355,65,4.8,low desirability
Google Men's 100% Cotton Short Sleeve Hero Tee White,168223,8036,4.78,low desirability
22 oz Mini Mountain Bottle,3628,172,4.74,low desirability
Google Power Bank,34596,1603,4.63,low desirability
Google Twill Cap,62783,2893,4.61,low desirability
Google Toddler Hoodie Royal Blue,11571,533,4.61,low desirability
Badge Holder,26625,1205,4.53,low desirability
Google Stretch Fit Hat M/L Navy,444,20,4.5,low desirability
Google Women's Yoga Pants,7727,346,4.48,low desirability
Waze Men's Short Sleeve Tee,1073,47,4.38,low desirability
Google 22 oz Water Bottle,32655,1391,4.26,low desirability
Google Onesie Green,10819,453,4.19,low desirability
Google Stretch Fit Hat,11173,465,4.16,low desirability
Google Hard Cover Journal,13690,552,4.03,low desirability
YouTube Men's Fleece Hoodie Black,11475,444,3.87,low desirability
Fashion Sunglasses & Pouch,28654,1107,3.86,low desirability
Google Women's Vintage Hero Tee Black,8048,309,3.84,low desirability
Google Infant Zip Hood Royal Blue,13139,504,3.84,low desirability
Google Toddler Short Sleeve Tee White,6469,246,3.8,low desirability
Google Infant Zip Hood Pink,13382,503,3.76,low desirability
Google 25 oz Clear Stainless Steel Bottle,247,9,3.64,low desirability
Koozie Can Kooler,5143,186,3.62,low desirability
Android 14 oz Mug White/Green,443,16,3.61,low desirability
Google Men's Heavyweight Long Sleeve Hero Tee Navy,6342,228,3.6,low desirability
Large Recycled Journal/Pen Combo,2136,74,3.46,low desirability
4-in-1 Carabiner Charger,19213,664,3.46,low desirability
Google Youth Sports Tee Navy,7109,241,3.39,low desirability
Google RFID Journal,14084,476,3.38,low desirability
Google Onesie Red/Graphite,9145,309,3.38,low desirability
YouTube Custom Decals,128006,4319,3.37,low desirability
Blue Metallic Textured Spiral Notebook Set,3879,130,3.35,low desirability
Google Tube Power Bank,39949,1333,3.34,low desirability
Google Youth Short Sleeve T-shirt Royal Blue,10208,340,3.33,low desirability
Maze Pen,42746,1415,3.31,low desirability
Google Canvas Tote Fruit Games Lemon,3895,128,3.29,low desirability
Google Women's Fleece Hoodie,53163,1744,3.28,low desirability
Google Infant Short Sleeve Tee White,7795,256,3.28,low desirability
Google Onesie Royal Blue,7549,245,3.25,low desirability
Google Bluetooth Headphones,28907,938,3.24,low desirability
20 oz Stainless Steel Insulated Tumbler,59983,1927,3.21,low desirability
Android Rise 14 oz Mug,60970,1933,3.17,low desirability
Google Toddler Short Sleeve Tee Red,6486,205,3.16,low desirability
